GISJOIN,SDUNI,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G36013560,Hancock Central School District,3,160,163,0.018404908
G36013590,Hannibal Central School District,299,670,969,0.30856553
G36013620,Harborfields Central School District,44,2153,2197,0.02002731
G36013710,Harpursville Central School District,195,295,490,0.39795917
G36013740,Harrison Central School District,302,2452,2754,0.10965868
G36013770,Harrisville Central School District,68,161,229,0.29694322
G36013830,Hartford Central School District,60,264,324,0.18518518
G36013950,Hastings-on-Hudson Union Free School District,0,1001,1001,0
G36013980,Hauppauge Union Free School District,79,2221,2300,0.034347825
G36014010,Haverstraw-Stony Point Central School District (North Rockland),581,4946,5527,0.10512032
G36014130,Hempstead Union Free School District,1186,3329,4515,0.26267996
G36014190,Hendrick Hudson Central School District,126,1530,1656,0.076086953
G36014220,Herkimer Central School District,142,514,656,0.21646342
G36014250,Hermon-DeKalb Central School District,47,141,188,0.25
G36014280,Herricks Union Free School District,56,2594,2650,0.021132076
G36014310,Heuvelton Central School District,135,335,470,0.28723404
G36014340,Hicksville Union Free School District,180,3330,3510,0.051282052
G36014400,Highland Central School District,118,964,1082,0.1090573
G36014430,Highland Falls Central School District,109,829,938,0.11620469
G36014460,Hilton Central School District,113,2693,2806,0.040270846
G36014490,Hinsdale Central School District,118,209,327,0.36085626
G36014550,Holland Central School District,72,560,632,0.11392405
G36014580,Holland Patent Central School District,101,900,1001,0.1008991
G36014610,Holley Central School District,146,557,703,0.20768137
G36014640,Homer Central School District,126,1011,1137,0.11081794
G36014670,Honeoye Central School District,17,422,439,0.038724374
G36014700,Honeoye Falls-Lima Central School District,132,1436,1568,0.084183671
G36014730,Hoosic Valley Central School District,74,702,776,0.095360823
G36014760,Hoosick Falls Central School District,101,723,824,0.12257282
G36014820,Hornell City School District,286,736,1022,0.27984345
G36014850,Horseheads Central School District,185,2197,2382,0.077665828
G36014880,Sackets Harbor Central School District,5,294,299,0.016722407
G36014940,Hudson City School District,194,984,1178,0.1646859
G36014970,Hudson Falls Central School District,374,1153,1527,0.24492469
G36015060,Hunter-Tannersville Central School District,25,132,157,0.15923567
G36015090,Huntington Union Free School District,613,3102,3715,0.16500673
G36015180,Hyde Park Central School District,368,2126,2494,0.14755413
G36015210,Kinderhook Central School District (Ichabod Crane),86,1174,1260,0.068253972
G36015270,Indian Lake Central School District,0,58,58,0
G36015300,Indian River Central School District,262,2047,2309,0.11346903
G36015330,Inlet Common School District,10,14,24,0.41666666
G36015360,Iroquois Central School District,53,1593,1646,0.032199271
G36015390,West Irondequoit Central School District,168,2097,2265,0.074172184
G36015450,Irvington Union Free School District,43,1256,1299,0.033102386
G36015480,Island Park Union Free School District,137,609,746,0.18364611
G36015510,Island Trees Union Free School District,66,1589,1655,0.039879154
G36015540,Islip Union Free School District,86,1738,1824,0.047149122
G36015570,Ithaca City School District,491,2975,3466,0.14166185
G36015630,Jamestown City School District,1247,1974,3221,0.38714686
G36015720,Jefferson Central School District,55,145,200,0.27500001
G36015780,Brookhaven-Comsewogue Union Free School District,162,2469,2631,0.061573546
G36015810,Jericho Union Free School District,104,1735,1839,0.056552473
G36015870,Johnsburg Central School District,31,104,135,0.22962964
G36015900,Johnson City Central School District,194,1229,1423,0.13633169
G36015980,Johnstown City School District,136,1027,1163,0.11693895
G36015990,Jordan-Elbridge Central School District,158,730,888,0.17792793
G36016080,Katonah-Lewisboro Union Free School District,93,2162,2255,0.041241687
G36016140,Keene Central School District,11,68,79,0.1392405
G36016170,AuSable Valley Central School District,74,883,957,0.077324972
G36016200,Kendall Central School District,106,416,522,0.20306513
G36016230,Kenmore-Tonawanda Union Free School District,1040,4834,5874,0.17705141
G36016260,Kings Park Central School District,125,1924,2049,0.061005369
G36016290,Kingston City School District,753,3602,4355,0.1729047
G36016380,La Fargeville Central School District,85,213,298,0.2852349
G36016410,LaFayette Central School District,29,513,542,0.053505536
G36016440,Lackawanna City School District,440,912,1352,0.32544377
G36016470,Lake George Central School District,84,337,421,0.19952494
G36016500,Lake Placid Central School District,46,593,639,0.07198748
G36016530,Lake Pleasant Central School District,5,22,27,0.18518518
G36016560,Evans-Brant Central School District (Lake Shore),203,1350,1553,0.13071474
G36016620,Lakeland Central School District,134,3418,3552,0.037725225
G36016680,Lancaster Central School District,177,4112,4289,0.04126836
G36016710,Lansing Central School District,64,705,769,0.083224967
G36016740,Lansingburgh Central School District,552,1201,1753,0.31488878
G36016800,Laurens Central School District,141,158,299,0.47157189
G36016830,Lawrence Union Free School District,393,3130,3523,0.11155266
G36016950,Le Roy Central School District,63,683,746,0.084450401
G36016960,North Warren Central School District,83,287,370,0.22432433
G36016980,North Rose-Wolcott Central School District,142,669,811,0.17509247
G36017130,Letchworth Central School District,114,524,638,0.17868339
G36017160,Levittown Union Free School District,116,4542,4658,0.024903392
G36017190,Lewiston-Porter Central School District,72,1442,1514,0.047556143
G36017220,Liberty Central School District,171,626,797,0.21455458
G36017380,Lindenhurst Union Free School District,331,3734,4065,0.081426814
G36017430,Lisbon Central School District,18,373,391,0.046035804
G36017460,Little Falls City School District,107,490,597,0.17922948
G36017520,Liverpool Central School District,583,4222,4805,0.12133195
G36017580,Livingston Manor Central School District,61,230,291,0.209622
G36017640,Livonia Central School District,125,973,1098,0.11384335
G36017670,Lockport City School District,483,2629,3112,0.15520565
G36017700,Locust Valley Central School District,98,1343,1441,0.068008326
G36017730,Long Beach City School District,283,2807,3090,0.091585763
G36017760,Long Lake Central School District,0,15,15,0
G36017820,Lowville Academy and Central School District,91,673,764,0.11910995
G36017880,Lyme Central School District,23,153,176,0.13068181
G36017910,Lynbrook Union Free School District,138,1724,1862,0.074113853
G36017940,Lyncourt Union Free School District,55,209,264,0.20833333
G36017970,Lyndonville Central School District,49,500,549,0.089253187
G36018030,Lyons Central School District,190,355,545,0.34862384
G36018080,Madison Central School District,126,200,326,0.38650307
G36018090,Madrid-Waddington Central School District,106,244,350,0.30285713
G36018120,Mahopac Central School District,89,2699,2788,0.031922527
G36018150,Maine-Endwell Central School District,202,1324,1526,0.13237222
G36018180,Malone Central School District,350,1093,1443,0.24255024
G36018210,Malverne Union Free School District,135,1500,1635,0.082568809
G36018240,Mamaroneck Union Free School District,253,2992,3245,0.077966101
G36018270,Manhasset Union Free School District,168,1874,2042,0.082272284
G36018330,Fayetteville-Manlius Central School District,115,2917,3032,0.03792876
G36018450,Marathon Central School District,38,444,482,0.078838177
G36018480,Marcellus Central School District,59,1127,1186,0.04974705
G36018510,Margaretville Central School District,74,234,308,0.24025974
G36018540,Marion Central School District,53,412,465,0.1139785
G36018570,Marlboro Central School District,67,1307,1374,0.048762735
G36018600,Cheektowaga-Maryvale Union Free School District,157,1272,1429,0.10986704
G36018630,Massapequa Union Free School District,154,4716,4870,0.031622175
G36018660,Massena Central School District,437,1425,1862,0.23469388
G36018690,William Floyd Union Free School District,877,4642,5519,0.1589056
G36018750,Mayfield Central School District,163,506,669,0.24364723
G36018840,McGraw Central School District,42,265,307,0.13680781
G36018900,Mechanicville City School District,148,765,913,0.16210295
G36018960,Medina Central School District,313,726,1039,0.3012512
G36018990,Menands Union Free School District,26,254,280,0.092857145
G36019170,Mexico Central School District,253,1037,1290,0.19612403
G36019200,Middle Country Central School District,590,5838,6428,0.091785938
G36019230,Longwood Central School District,378,5414,5792,0.065262429
G36019260,Middleburgh Central School District,57,359,416,0.13701923
G36019320,Middletown City School District,904,3210,4114,0.21973749
G36019350,Milford Central School District,17,223,240,0.070833333
G36019380,Millbrook Central School District,0,672,672,0
G36019410,Miller Place Union Free School District,117,1639,1756,0.066628702
G36019500,Mineola Union Free School District,153,2053,2206,0.0693563
G36019530,Minerva Central School District,0,29,29,0
G36019560,Minisink Valley Central School District,240,2315,2555,0.093933463
G36019650,Monroe-Woodbury Central School District,205,3731,3936,0.052083332
G36019680,Valley Central School District (Montgomery),263,2574,2837,0.092703559
G36019710,Montauk Union Free School District,76,136,212,0.35849056
G36019740,Monticello Central School District,482,1247,1729,0.27877384
G36019800,Moravia Central School District,99,577,676,0.1464497
G36019830,Moriah Central School District,64,351,415,0.15421687
G36019860,Morris Central School District,28,225,253,0.11067194
G36019890,Morristown Central School District,35,136,171,0.20467836
G36019920,Morrisville-Eaton Central School District,55,330,385,0.14285715
G36019950,Bedford Central School District,266,2874,3140,0.084713377
G36020010,Mount Morris Central School District,67,312,379,0.176781
G36020040,Mount Sinai Union Free School District,34,1318,1352,0.02514793
G36020100,Mount Vernon School District,1403,5295,6698,0.20946552
G36020160,Mount Pleasant Central School District,13,1123,1136,0.011443662
G36020190,Nanuet Union Free School District,87,1488,1575,0.055238094
G36020220,Naples Central School District,94,342,436,0.21559633
G36020340,Clarkstown Central School District,293,4924,5217,0.056162547
G36020370,New Hartford Central School District,76,1356,1432,0.053072624
G36020430,New Lebanon Central School District,46,328,374,0.12299465
G36020460,New Paltz Central School District,54,1356,1410,0.038297873
G36020490,New Rochelle City School District,908,6584,7492,0.12119594
G36020520,New Suffolk Common School District,0,5,5,0
G36020580,New York City Department Of Education,210510,554922,765432,0.27502117
G36020610,New York Mills Union Free School District,76,514,590,0.12881356
G36020640,Newark Central School District,203,1010,1213,0.16735367
G36020670,Newark Valley Central School District,42,718,760,0.055263158
G36020700,Newburgh City School District,1710,5387,7097,0.24094687
G36020730,Newcomb Central School District,7,26,33,0.21212122
G36020760,Newfane Central School District,163,924,1087,0.14995401
G36020790,Newfield Central School District,148,310,458,0.32314411
G36020820,Niagara Falls City School District,1753,3017,4770,0.36750525
G36020850,Niagara-Wheatfield Central School District,173,2395,2568,0.067367598
G36020880,Niskayuna Central School District,134,2045,2179,0.061496098
G36020910,North Babylon Union Free School District,175,2646,2821,0.062034741
G36020970,North Collins Central School District,3,288,291,0.010309278
G36021180,North Salem Central School District,44,794,838,0.052505966
G36021210,North Syracuse Central School District,652,6084,6736,0.096793346
G36021240,North Tonawanda City School District,297,2165,2462,0.12063363
G36021250,Northeastern Clinton Central School District,192,825,1017,0.18879056
G36021260,Northern Adirondack Central School District,171,425,596,0.28691274
G36021270,Northport-East Northport Union Free School District,112,3677,3789,0.029559251
G36021300,Northville Central School District,49,182,231,0.21212122
G36021330,Norwich City School District,344,872,1216,0.28289473
G36021360,Norwood-Norfolk Central School District,162,558,720,0.22499999
G36021450,Dalton-Nunda Central School District (Keshequa),72,397,469,0.15351813
G36021480,Nyack Union Free School District,158,2012,2170,0.07281106
G36021510,Oakfield-Alabama Central School District,15,516,531,0.028248588
G36021540,Fire Island Union Free School District,0,24,24,0
G36021570,Oceanside Union Free School District,316,3104,3420,0.09239766
G36021630,Odessa-Montour Central School District,100,304,404,0.24752475
G36021660,Ogdensburg City School District,214,763,977,0.21903788
G36021720,Olean City School District,465,996,1461,0.31827515
G36021780,Oneonta City School District,262,1125,1387,0.18889689
G36021810,Onondaga Central School District,25,483,508,0.049212597
G36021840,Onteora Central School District,109,918,1027,0.10613437
G36021900,Orchard Park Central School District,83,3352,3435,0.024163028
G36021930,Oysterponds Union Free School District,6,55,61,0.098360658
G36021960,Oriskany Central School District,47,396,443,0.10609481
G36022020,Ossining Union Free School District,664,2859,3523,0.18847573
G36022050,Oswego City School District,492,2077,2569,0.19151421
G36022100,Georgetown-South Otselic Central School District,48,188,236,0.20338982
G36022140,South Seneca Central School District,65,417,482,0.13485478
G36022170,Owego-Apalachin Central School District,196,1108,1304,0.15030675
G36022200,Van Hornesville-Owen D. Young Central School District,6,139,145,0.04137931
G36022260,Oxford Academy and Central School District,46,388,434,0.10599078
G36022290,Oyster Bay-East Norwich Central School District,60,1274,1334,0.044977512
G36022380,Palmyra-Macedon Central School District,127,1059,1186,0.10708263
G36022410,Panama Central School District,70,310,380,0.18421052
G36022440,Parishville-Hopkinton Central School District,58,230,288,0.2013889
G36022470,Patchogue-Medford Union Free School District,587,4494,5081,0.11552844
G36022500,Pavilion Central School District,130,372,502,0.25896415
G36022530,Pawling Central School District,50,863,913,0.054764513
G36022560,Pearl River Union Free School District,121,1479,1600,0.075625002
G36022650,Peekskill City School District,235,1887,2122,0.11074458
G36022680,Pelham Union Free School District,12,1481,1493,0.008037509
G36022710,Penfield Central School District,62,3203,3265,0.01898928
G36022740,Penn Yan Central School District,242,1048,1290,0.1875969
G36022770,Perry Central School District,170,409,579,0.29360968
G36022830,Peru Central School District,216,1118,1334,0.16191904
G36022890,Phelps-Clifton Springs Central School District,90,1169,1259,0.071485303
G36022920,Phoenix Central School District,99,854,953,0.10388248
G36023010,Pine Bush Central School District,158,3022,3180,0.049685534
G36023040,Pine Plains Central School District,49,642,691,0.07091172
G36023070,Pine Valley Central School District (South Dayton),91,407,498,0.18273093
G36023130,Piseco Common School District,1,6,7,0.14285715
G36023160,Pittsford Central School District,143,3514,3657,0.039103091
