GISJOIN,SDUNI,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G36000001,Dolgeville Central School District,116,503,619,0.18739903
G36000002,Sauquoit Valley Central School District,56,594,650,0.086153843
G36000003,Edwards-Knox Central School District,60,244,304,0.19736843
G36000004,Rotterdam-Mohonasen Central School District,171,1447,1618,0.10568603
G36000005,Broadalbin-Perth Central School District,142,876,1018,0.13948919
G36000006,Cherry Valley-Springfield Central School District,61,335,396,0.15404041
G36000007,Jasper-Troupsburg Central School District,70,283,353,0.19830029
G36000008,South Country Central School District,518,2410,2928,0.17691256
G36000009,Saranac Central School District,219,947,1166,0.18782161
G36000010,Cobleskill-Richmondville Central School District,143,915,1058,0.13516068
G36000011,Wayland-Cohocton Central School District,223,759,982,0.22708757
G36000012,Bolivar-Richburg Central School District,110,371,481,0.22869022
G36000013,Oneida City School District,265,1076,1341,0.19761372
G36000014,Waterloo Central School District,172,947,1119,0.15370867
G36000015,Allegany-Limestone Central School District,112,553,665,0.16842106
G36000016,Averill Park Central School District,110,1897,2007,0.05480817
G36000017,Genesee Valley Central School District,73,355,428,0.17056075
G36000018,Chautauqua Lake Central School District,125,203,328,0.38109756
G36000019,Unadilla Valley Central School District,79,473,552,0.14311594
G36000020,Campbell-Savona Central School District,70,366,436,0.16055046
G36000021,Mattituck-Cutchogue Union Free School District,27,905,932,0.028969957
G36000023,Sullivan West Central School District,62,723,785,0.078980893
G36000124,Canisteo-Greenwood Central School District,185,441,626,0.29552716
G36000125,Eastport-South Manor Central School District,127,2107,2234,0.056848701
G36000971,North Colonie Central School District,436,3077,3513,0.12411045
G36001087,Central Valley School District,369,1052,1421,0.25967628
G36001107,Oppenheim-Ephratah-St. Johnsville Central School District,112,447,559,0.20035778
G36002310,Glens Falls Common School District,42,94,136,0.30882353
G36002340,South Jefferson Central School District,249,955,1204,0.20681064
G36002370,Addison Central School District,282,559,841,0.33531511
G36002400,Afton Central School District,50,236,286,0.17482518
G36002430,Akron Central School District,99,926,1025,0.096585363
G36002460,Albany City School District,1860,3969,5829,0.31909418
G36002520,Albion Central School District,210,789,999,0.2102102
G36002550,Alden Central School District,189,1069,1258,0.15023847
G36002580,Alexander Central School District,29,446,475,0.061052632
G36002670,Alexandria Central School District,44,240,284,0.15492958
G36002700,Alfred-Almond Central School District,59,323,382,0.15445027
G36002730,Windsor Central School District,75,1053,1128,0.066489361
G36002820,Altmar-Parish-Williamstown Central School District,174,647,821,0.21193667
G36002880,Amagansett Union Free School District,3,106,109,0.027522936
G36002920,Amherst Central School District,118,2011,2129,0.055425081
G36002940,Amityville Union Free School District,254,1995,2249,0.11293908
G36002970,Amsterdam City School District,923,1466,2389,0.38635412
G36003000,Andes Central School District,32,47,79,0.4050633
G36003030,Andover Central School District,52,185,237,0.21940929
G36003060,Schenevus Central School District,48,233,281,0.17081851
G36003180,Ardsley Union Free School District,32,999,1031,0.031037828
G36003210,Argyle Central School District,57,244,301,0.18936877
G36003240,Arkport Central School District,28,223,251,0.11155379
G36003270,Arlington Central School District,353,5303,5656,0.062411599
G36003420,Attica Central School District,107,732,839,0.12753278
G36003480,Auburn City School District,569,2418,2987,0.19049214
G36003630,Avoca Central School District,66,249,315,0.20952381
G36003660,Avon Central School District,87,672,759,0.11462451
G36003720,Babylon Union Free School District,75,969,1044,0.071839079
G36003810,Bainbridge-Guilford Central School District,45,386,431,0.10440835
G36003840,Baldwin Union Free School District,328,3385,3713,0.088338271
G36003870,Baldwinsville Central School District,313,3170,3483,0.089865059
G36003930,Ballston Spa Central School District,236,2454,2690,0.087732345
G36003960,Barker Central School District,96,520,616,0.15584415
G36003990,Batavia City School District,442,1119,1561,0.28315184
G36004050,Bath Central School District,294,738,1032,0.28488371
G36004080,Bay Shore Union Free School District,228,3228,3456,0.065972224
G36004110,Bayport-Blue Point Union Free School District,150,1297,1447,0.10366275
G36004140,Beacon City School District,497,1653,2150,0.23116279
G36004200,Beaver River Central School District,28,563,591,0.047377326
G36004290,Beekmantown Central School District,194,1057,1251,0.15507594
G36004350,Belfast Central School District,51,252,303,0.16831683
G36004370,Belleville Henderson Central School District,75,293,368,0.20380434
G36004530,Bemus Point Central School District,4,383,387,0.010335918
G36004620,Berlin Central School District,52,509,561,0.092691623
G36004650,Berne-Knox-Westerlo Central School District,55,565,620,0.088709675
G36004710,Bethlehem Central School District,73,2826,2899,0.025181096
G36004740,Bethpage Union Free School District,24,1828,1852,0.012958963
G36004757,Gilbertsville-Mount Upton Central School District,89,233,322,0.27639753
G36004758,Kiryas Joel Village Union Free School District,514,1051,1565,0.3284345
G36004800,Binghamton Common School District,0,31,31,0
G36004870,Binghamton City School District,1135,2086,3221,0.35237503
G36004920,East Bloomfield Central School District,75,554,629,0.11923689
G36005010,Bolton Central School District,0,80,80,0
G36005040,Adirondack Central School District,155,579,734,0.21117166
G36005220,Bradford Central School District,38,120,158,0.24050634
G36005280,Brentwood Union Free School District,1077,8100,9177,0.11735862
G36005310,Brewster Central School District,125,2098,2223,0.056230318
G36005340,Briarcliff Manor Union Free School District,17,866,883,0.019252548
G36005370,Bridgehampton Union Free School District,0,57,57,0
G36005460,Brighton Central School District,151,2161,2312,0.065311417
G36005520,Brunswick Central School District (Brittonkill),62,622,684,0.090643272
G36005580,Brockport Central School District,281,2044,2325,0.12086021
G36005610,Brocton Central School District,54,304,358,0.15083799
G36005640,Bronxville Union Free School District,30,860,890,0.033707865
G36005670,Brookfield Central School District,10,167,177,0.056497175
G36005820,Brushton-Moira Central School District,140,313,453,0.30905077
G36005850,Buffalo City School District,10658,14548,25206,0.42283583
G36005940,Burnt Hills-Ballston Lake Central School District,63,1716,1779,0.035413153
G36006060,Byram Hills Central School District,20,1455,1475,0.013559322
G36006090,Byron-Bergen Central School District,157,576,733,0.21418826
G36006160,Cairo-Durham Central School District,221,642,863,0.25608343
G36006180,Caledonia-Mumford Central School District,40,474,514,0.077821009
G36006210,Cambridge Central School District,21,472,493,0.042596348
G36006240,Camden Central School District,256,1027,1283,0.19953234
G36006300,Canajoharie Central School District,93,565,658,0.14133738
G36006330,Canandaigua City School District,312,2203,2515,0.12405567
G36006360,Canaseraga Central School District,56,135,191,0.29319373
G36006390,Canastota Central School District,102,699,801,0.12734082
G36006420,Candor Central School District,71,385,456,0.15570176
G36006470,Canton Central School District,138,640,778,0.17737789
G36006500,Spackenkill Union Free School District,124,906,1030,0.12038835
G36006540,Carle Place Union Free School District,136,868,1004,0.13545817
G36006570,Carmel Central School District,256,2719,2975,0.086050421
G36006630,Carthage Central School District,284,1659,1943,0.14616573
G36006660,Cassadaga Valley Central School District,157,511,668,0.23502994
G36006690,Cato-Meridian Central School District,55,505,560,0.098214284
G36006720,Catskill Central School District,193,968,1161,0.166236
G36006750,Cattaraugus-Little Valley Central School District,121,428,549,0.22040074
G36006780,Cazenovia Central School District,81,824,905,0.089502759
G36006840,Center Moriches Union Free School District,0,808,808,0
G36006870,Central Islip Union Free School District,440,2938,3378,0.13025458
G36006900,Central Square Central School District,407,2320,2727,0.14924826
G36006990,Chappaqua Central School District,95,2202,2297,0.041358292
G36007020,Grand Island Central School District,209,1836,2045,0.10220049
G36007050,Charlotte Valley Central School District,56,177,233,0.24034335
G36007080,Chateaugay Central School District,85,205,290,0.29310346
G36007110,Chatham Central School District,83,783,866,0.095842957
G36007170,Chazy Union Free School District,11,326,337,0.032640949
G36007230,Cheektowaga Central School District,364,1406,1770,0.20564972
G36007260,Chenango Forks Central School District,185,771,956,0.19351465
G36007290,Chenango Valley Central School District,203,867,1070,0.18971963
G36007320,Westhill Central School District,31,1017,1048,0.029580154
G36007380,Chester Union Free School District,25,577,602,0.04152824
G36007470,Chittenango Central School District,99,1125,1224,0.080882356
G36007530,Churchville-Chili Central School District,323,2172,2495,0.12945892
G36007560,Cincinnatus Central School District,85,297,382,0.22251309
G36007590,Clarence Central School District,191,3021,3212,0.059464507
G36007650,Thousand Islands Central School District,109,557,666,0.16366367
G36007680,Cleveland Hill Union Free School District,107,763,870,0.12298851
G36007710,Clifton-Fine Central School District,79,97,176,0.44886363
G36007770,Clinton Central School District,74,755,829,0.089264177
G36007860,Clyde-Savannah Central School District,63,456,519,0.12138728
G36007890,Clymer Central School District,77,205,282,0.27304965
G36007980,Cohoes City School District,304,800,1104,0.27536231
G36008010,Cold Spring Harbor Central School District,51,982,1033,0.049370766
G36008100,Colton-Pierrepont Central School District,69,156,225,0.30666667
G36008130,Commack Union Free School District,186,4090,4276,0.043498598
G36008160,Connetquot Central School District,183,3795,3978,0.046003018
G36008250,Cooperstown Central School District,58,496,554,0.10469314
G36008280,Copenhagen Central School District,101,264,365,0.27671233
G36008310,Copiague Union Free School District,206,2434,2640,0.078030303
G36008340,Pembroke Central School District,138,536,674,0.20474778
G36008370,Corinth Central School District,147,490,637,0.23076923
G36008400,Corning City School District,448,3044,3492,0.12829325
G36008430,Cornwall Central School District,31,2089,2120,0.014622642
G36008460,Cortland City School District,246,1559,1805,0.13628809
G36008490,Coxsackie-Athens Central School District,131,663,794,0.1649874
G36008580,Croton-Harmon Union Free School District,35,958,993,0.035246726
G36008610,Crown Point Central School District,24,155,179,0.13407822
G36008790,Dansville Central School District,255,739,994,0.25653923
G36008850,DeRuyter Central School District,31,171,202,0.15346535
G36008880,Deer Park Union Free School District,223,2428,2651,0.084119201
G36008910,Delhi Central School District,60,376,436,0.13761468
G36008970,Yorkshire-Pioneer Central School District,196,1373,1569,0.12492033
G36009030,Depew Union Free School District,172,1033,1205,0.1427386
G36009060,Deposit Central School District,59,282,341,0.17302053
G36009090,Jamesville-DeWitt Central School District,102,1689,1791,0.056951422
G36009120,Dobbs Ferry Union Free School District,8,787,795,0.010062893
G36009210,Dover Union Free School District,151,783,934,0.16167024
G36009240,Downsville Central School District,81,82,163,0.49693251
G36009330,Dryden Central School District,194,1060,1254,0.15470494
G36009360,Duanesburg Central School District,50,490,540,0.09259259
G36009390,Dundee Central School District,81,424,505,0.16039604
G36009420,Dunkirk City School District,470,968,1438,0.32684284
G36009540,East Aurora Union Free School District,93,1183,1276,0.072884016
G36009630,East Greenbush Central School District,162,2617,2779,0.058294352
G36009660,East Hampton Union Free School District,57,848,905,0.062983423
G36009690,East Irondequoit Central School District,384,1783,2167,0.17720351
G36009720,East Islip Union Free School District,107,2643,2750,0.038909093
G36009840,East Meadow Union Free School District,247,4275,4522,0.054621849
G36009870,East Moriches Union Free School District,0,532,532,0
G36009900,East Quogue Union Free School District,12,490,502,0.023904383
G36009930,East Rochester Union Free School District,209,527,736,0.28396741
G36009960,East Rockaway Union Free School District,15,841,856,0.017523365
G36009990,East Syracuse-Minoa Central School District,252,1784,2036,0.1237721
G36010050,East Williston Union Free School District,59,961,1020,0.057843138
G36010080,Eastchester Union Free School District,49,1769,1818,0.026952695
G36010170,Eden Central School District,25,836,861,0.029036004
G36010200,Edgemont Union Free School District,34,1105,1139,0.029850746
G36010230,Edinburg Common School District,5,63,68,0.073529415
G36010260,Edmeston Central School District,28,223,251,0.11155379
G36010380,Elba Central School District,30,242,272,0.11029412
G36010410,Eldred Central School District,72,373,445,0.16179775
G36010440,Elizabethtown-Lewis Central School District,23,202,225,0.10222222
G36010500,Ellenville Central School District,166,1089,1255,0.13227092
G36010530,Ellicottville Central School District,88,260,348,0.25287357
G36010560,Elmira City School District,1366,3062,4428,0.30849141
G36010590,Elmira Heights Central School District,89,522,611,0.14566284
G36010650,Elmsford Union Free School District,40,774,814,0.049140047
G36010680,Elwood Union Free School District,94,1272,1366,0.068814054
G36010710,Union-Endicott Central School District,432,2322,2754,0.15686275
G36010860,Fabius-Pompey Central School District,73,408,481,0.15176715
G36010890,Fairport Central School District,330,3541,3871,0.08524929
G36010920,Falconer Central School District,156,498,654,0.23853211
G36010950,Fallsburg Central School District,258,525,783,0.32950193
G36010980,Farmingdale Union Free School District,235,3835,4070,0.05773956
G36011070,Fillmore Central School District,78,267,345,0.22608696
G36011100,Fishers Island Union Free School District,0,23,23,0
G36011190,Fonda-Fultonville Central School District,88,739,827,0.10640871
G36011250,Forestville Central School District,39,217,256,0.15234375
G36011280,Fort Ann Central School District,9,326,335,0.026865672
G36011310,Fort Edward Union Free School District,44,327,371,0.11859838
G36011370,Fort Plain Central School District,98,313,411,0.23844282
G36011400,Frankfort-Schuyler Central School District,94,535,629,0.14944357
G36011430,Franklin Central School District,11,216,227,0.048458152
G36011490,Franklinville Central School District,99,352,451,0.21951219
G36011520,Fredonia Central School District,61,801,862,0.070765659
G36011550,Freeport Union Free School District,544,3125,3669,0.14826928
G36011610,Frewsburg Central School District,85,440,525,0.16190477
G36011640,Friendship Central School District,118,149,267,0.44194758
G36011670,Frontier Central School District,352,2948,3300,0.10666667
G36011700,Fulton City School District,599,1499,2098,0.28551
G36011730,Galway Central School District,115,794,909,0.12651265
G36011740,Gananda Central School District,35,671,706,0.049575072
G36011760,Garden City Union Free School District,103,2144,2247,0.045838896
G36011860,Garrison Union Free School District,0,187,187,0
G36011880,Gates-Chili Central School District,395,2605,3000,0.13166666
G36011910,General Brown Central School District,160,857,1017,0.15732546
G36011940,Geneseo Central School District,129,508,637,0.20251177
G36011970,Geneva City School District,358,907,1265,0.28300396
G36012030,Germantown Central School District,51,434,485,0.10515464
G36012120,Gilboa-Conesville Central School District,17,168,185,0.091891892
G36012180,Glen Cove City School District,619,1874,2493,0.24829523
G36012240,Glens Falls City School District,214,1009,1223,0.17497955
G36012270,Gloversville City School District,820,1052,1872,0.43803418
G36012300,Gorham-Middlesex Central School District (Marcus Whitman),136,683,819,0.16605617
G36012330,Goshen Central School District,79,1608,1687,0.046828691
G36012360,Gouverneur Central School District,261,787,1048,0.2490458
G36012390,Gowanda Central School District,228,553,781,0.29193342
G36012450,Granville Central School District,168,593,761,0.22076215
G36012510,Great Neck Union Free School District,318,4083,4401,0.072256304
G36012630,Greece Central School District,935,5960,6895,0.13560551
G36012660,Green Island Union Free School District,14,219,233,0.060085837
G36012720,Greenburgh Central School District,91,1604,1695,0.053687315
G36012750,Greene Central School District,196,540,736,0.26630434
G36012840,Greenport Union Free School District,59,233,292,0.2020548
G36012870,Greenville Central School District,61,678,739,0.082543977
G36012900,Greenwich Central School District,32,555,587,0.054514479
G36012960,Greenwood Lake Union Free School District,11,509,520,0.021153847
G36012990,Springville-Griffith Institute Central School,122,1181,1303,0.093630083
G36013020,Groton Central School District,95,454,549,0.1730419
G36013080,Guilderland Central School District,175,3236,3411,0.051304601
G36013110,Hadley-Luzerne Central School District,51,406,457,0.11159737
G36013230,Haldane Central School District,76,575,651,0.11674348
G36013290,Half Hollow Hills Central School District,212,4879,5091,0.041642115
G36013350,Hamburg Central School District,83,2301,2384,0.034815438
G36013380,Hamilton Central School District,18,270,288,0.0625
G36013440,Hammond Central School District,58,122,180,0.32222223
G36013470,Hammondsport Central School District,38,284,322,0.11801242
G36013530,Hampton Bays Union Free School District,27,1056,1083,0.024930747
