GISJOIN,STATEFP,COUNTYFP,TRACTCE,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G3600050004100,36,5,4100,671,366,1037,0.64705884
G3600050004200,36,5,4200,385,256,641,0.60062402
G3600050004300,36,5,4300,439,365,804,0.54601991
G3600050004400,36,5,4400,231,370,601,0.38435939
G3600050004600,36,5,4600,88,142,230,0.38260868
G3600050004800,36,5,4800,134,301,435,0.30804598
G3600050005001,36,5,5001,246,332,578,0.42560554
G3600050005002,36,5,5002,430,251,681,0.63142437
G3600050005100,36,5,5100,495,264,759,0.65217394
G3600050005200,36,5,5200,208,129,337,0.61721069
G3600050005300,36,5,5300,368,184,552,0.66666669
G3600050005400,36,5,5400,345,287,632,0.5458861
G3600050005600,36,5,5600,128,117,245,0.52244896
G3600050005902,36,5,5902,60,184,244,0.24590164
G3600050006000,36,5,6000,55,82,137,0.40145984
G3600050006100,36,5,6100,56,176,232,0.24137931
G3600050006200,36,5,6200,398,466,864,0.46064815
G3600050006300,36,5,6300,163,251,414,0.39371979
G3600050006400,36,5,6400,139,177,316,0.43987343
G3600050006500,36,5,6500,314,300,614,0.51140064
G3600050006700,36,5,6700,356,325,681,0.52276063
G3600050006800,36,5,6800,125,294,419,0.29832935
G3600050006900,36,5,6900,520,563,1083,0.48014775
G3600050007000,36,5,7000,215,278,493,0.43610549
G3600050007100,36,5,7100,129,161,290,0.44482759
G3600050007200,36,5,7200,364,310,674,0.54005933
G3600050007300,36,5,7300,220,270,490,0.44897959
G3600050007400,36,5,7400,123,244,367,0.33514985
G3600050007500,36,5,7500,319,459,778,0.41002572
G3600050007600,36,5,7600,296,369,665,0.44511279
G3600050007700,36,5,7700,128,154,282,0.45390069
G3600050007800,36,5,7800,230,497,727,0.31636864
G3600050007900,36,5,7900,443,245,688,0.64389533
G3600050008300,36,5,8300,400,397,797,0.50188208
G3600050008400,36,5,8400,46,234,280,0.16428572
G3600050008500,36,5,8500,300,414,714,0.42016807
G3600050008600,36,5,8600,304,320,624,0.48717949
G3600050008700,36,5,8700,253,578,831,0.30445248
G3600050008900,36,5,8900,120,212,332,0.36144578
G3600050009000,36,5,9000,211,276,487,0.43326488
G3600050009200,36,5,9200,217,430,647,0.33539411
G3600050009300,36,5,9300,352,370,722,0.48753461
G3600050009600,36,5,9600,26,293,319,0.081504703
G3600050009800,36,5,9800,172,343,515,0.33398059
G3600050011000,36,5,11000,0,14,14,0
G3600050011502,36,5,11502,334,318,652,0.51226991
G3600050011700,36,5,11700,95,149,244,0.38934427
