stabbr,adjrevratio_all1995,adjrevratio_stlo1995,adjrevratio_stfe1995,adjrevratio_lofe1995,adjrevratio_st1995,adjrevratio_fe1995,adjrevratio_lo1995,adjrevratio_all2014,adjrevratio_stlo2014,adjrevratio_stfe2014,adjrevratio_lofe2014,adjrevratio_st2014,adjrevratio_fe2014,adjrevratio_lo2014
"NH",.9837524,.979055,1.170209,.9688591,1.182613,1.140504,.9633176,1.007997,.9954591,1.119681,.9627906,1.101063,1.236892,.9398736
"NJ",1.03743,1.009694,1.682948,.7075506,1.660594,1.943444,.6487345,1.106634,1.08412,1.738982,.7357007,1.744531,1.684564,.6758887
"NM",1.027207,1.003957,1.038947,1.067536,1.013272,1.199136,.9536714,1.02683,.998226,1.048142,1.051716,1.016011,1.228199,.9288282
"NV",.9878058,.987081,.978588,.9934569,.9748838,1.002384,.9928048,.99282,.9921864,.9970782,.9908656,.9965284,.9991695,.9895303
"NY",.8730224,.8435399,1.040953,.7961643,.9893393,1.494063,.7393594,1.001866,.9814853,1.150921,.9187756,1.122099,1.382936,.8751846
"OH",1.037751,1.000364,1.273328,.9329045,1.212047,1.710532,.8613017,1.108434,1.080811,1.312554,.9874161,1.283471,1.487645,.9225174
"OK",1.041721,1.020287,1.079955,1.026313,1.052281,1.275356,.9614425,1.031116,1.011311,1.081514,1.005499,1.057251,1.189667,.9535874
"OR",1.025594,1.015336,1.066354,1.002952,1.051365,1.17649,.979382,1.011567,1.002665,1.064104,.9647227,1.055956,1.118567,.935882
"PA",.9764272,.9489946,1.20735,.8593811,1.162285,1.656409,.8056108,1.028221,1.002545,1.313013,.8897764,1.277734,1.61169,.8391447
"RI",1.018271,.9894855,1.315566,.8560519,1.279798,1.61141,.7948127,1.01331,.9803083,1.37266,.8220417,1.361361,1.426886,.7438242
"SC",1.008353,.9933477,1.050444,.9917087,1.028008,1.17496,.9587114,1.013001,1.002215,1.024279,1.019436,1.005617,1.115816,.9986093
"SD",1.058569,.9766355,1.35687,1.020786,1.166288,1.936849,.901449,1.085538,.9783402,1.322509,1.074243,1.111034,1.851022,.9068952
"TN",1.029453,1.015951,1.044625,1.036673,1.021777,1.175486,1.009394,1.015265,1.005967,1.026833,1.017962,1.012233,1.085963,.9988254
"TX",1.03031,1.004343,1.206814,.9242572,1.177895,1.38326,.8629818,1.020309,.9925668,1.181895,.9347205,1.158144,1.274288,.8702233
"UT",1.038543,1.023278,1.035774,1.073282,1.009162,1.248372,1.042867,1.035898,1.023233,1.031966,1.066205,1.009788,1.170552,1.0424
"VA",1.044764,1.024089,1.20498,.9837114,1.1734,1.379917,.9465846,1.036447,1.0152,1.177231,.9601846,1.150951,1.335725,.913563
"VT",1.007558,1.002164,1.23381,.9337944,1.230363,1.277594,.9245917,1.00567,1.000357,1.007967,1.038382,1.002259,1.28287,.9775921
"WA",1.016369,.9996259,1.046163,.9960772,1.025517,1.309743,.9301189,1.028077,1.01099,1.081488,.9755439,1.06188,1.244615,.9137353
"WI",1.000891,.9734747,1.18825,.8928403,1.143467,1.699559,.8354864,1.035062,1.004887,1.162642,.9715883,1.118035,1.443994,.9063826
"WV",1.008632,1.001547,1.041395,.9636932,1.035184,1.09032,.929038,1.003829,.9966395,1.023672,.987278,1.015765,1.071521,.9622365
"WY",1.038554,1.005951,1.192725,.9369327,1.149543,1.514967,.8560914,.9941914,.9839676,1.061055,.9273019,1.051046,1.147704,.8926377
