stabbr,adjrevratio_all1995,adjrevratio_stlo1995,adjrevratio_stfe1995,adjrevratio_lofe1995,adjrevratio_st1995,adjrevratio_fe1995,adjrevratio_lo1995,adjrevratio_all2014,adjrevratio_stlo2014,adjrevratio_stfe2014,adjrevratio_lofe2014,adjrevratio_st2014,adjrevratio_fe2014,adjrevratio_lo2014
"AK",1.166775,1.111739,1.27844,1.077495,1.218517,1.648282,.8559957,1.185708,1.125831,1.272837,1.138307,1.209003,1.641262,.8644403
"AL",.9932659,.9726989,1.03356,.9628823,1.010338,1.192358,.8821411,1.007897,.9888593,1.041792,.9964413,1.017243,1.171453,.9435567
"AR",1.021617,1.001507,1.058038,1.003761,1.033172,1.228229,.9383057,1.024473,1.010412,1.058356,1.006074,1.041015,1.147156,.9669262
"AZ",1.077153,.9995318,1.233879,1.057251,1.1028,1.893533,.9047804,1.032962,.9831929,1.141194,1.01587,1.0616,1.375967,.9245284
"CA",1.031728,1.00797,1.141907,.9363505,1.116194,1.322384,.8623372,1.030587,1.011576,1.162209,.8917461,1.151752,1.22485,.8129586
"CO",1.021276,1.004142,1.09004,.9919773,1.05989,1.360793,.9579402,1.03679,1.016825,1.092021,1.020422,1.058122,1.302908,.9806799
"CT",1.041828,1.006094,1.671775,.7293559,1.624423,2.244815,.6590765,1.02327,.9982077,1.47443,.7817293,1.452593,1.692111,.7272753
"DE",1.000031,.9971846,1.019076,.9697318,1.016859,1.041051,.9538966,1.034813,1.028339,1.054704,1.017996,1.046761,1.1216,.9972081
"FL",1.007843,1.002906,1.049354,.971113,1.045942,1.073201,.9547756,1.002652,.9978618,1.014609,.9992924,1.007638,1.038294,.9896436
"GA",1.070723,1.052173,1.097524,1.074011,1.067763,1.343456,1.032166,1.048844,1.030577,1.077315,1.050699,1.046522,1.216632,1.015101
"IA",1.009924,1.004706,1.041426,.9887224,1.03337,1.142299,.9767676,1.004047,.9932436,1.054699,.966997,1.040131,1.187194,.9389759
"ID",1.011982,1.00385,1.034948,.9905894,1.025471,1.112902,.9613719,1.006769,.9959532,1.02426,.9976395,1.012089,1.093908,.9564044
"IL",1.000066,.9558897,1.331026,.892902,1.246512,1.848595,.8198574,.9688985,.9364468,1.165002,.8958345,1.112258,1.442876,.8372471
"IN",1.032542,1.017257,1.101317,.9839904,1.07839,1.38507,.9464614,1.041904,1.021772,1.078658,1.024266,1.052645,1.310653,.9596329
"KS",1.010797,.9999814,1.068507,.9514311,1.055275,1.227946,.9169846,1.023632,1.005263,1.093686,.9587821,1.072445,1.265139,.8984283
"KY",1.063941,1.047524,1.124772,.9860564,1.109441,1.235709,.9086952,1.031165,1.014054,1.093268,.9740738,1.078207,1.167137,.9105941
"LA",.9915168,.978649,1.02271,.9731024,1.008009,1.089547,.9351957,1.044677,1.030022,1.046911,1.064712,1.018027,1.139578,1.0418
"MA",1.042363,1.017102,1.388123,.9188617,1.344602,1.758826,.8765355,1.055838,1.032655,1.320688,.9084519,1.293747,1.551211,.8582839
"MD",.9624873,.938238,1.210956,.8395597,1.178875,1.461971,.7908325,1.022823,1.005578,1.199599,.8966699,1.185425,1.3083,.8503411
"ME",1.007735,.9984829,1.060069,.9751086,1.046606,1.181773,.9539574,1.008118,.9971792,1.097939,.9599093,1.086304,1.166716,.9358249
"MI",1.00922,.9789969,1.094784,.9093745,1.05715,1.708716,.7923582,1.046354,.9983903,1.081092,1.102024,1.009588,1.807894,.9784672
"MN",1.067489,1.049515,1.10974,1.053462,1.080003,1.528916,1.01239,1.066924,1.047716,1.087665,1.075654,1.063207,1.421369,1.003774
"MO",1.132334,1.107549,1.330497,1.033692,1.300797,1.507483,.9820645,1.022111,.9933202,1.144855,.9886543,1.094339,1.334198,.9399281
"MS",1.019033,.9939055,1.043428,1.029069,1.011222,1.171246,.9610063,1.030138,1.001838,1.057867,1.042993,1.017446,1.20103,.9796972
"MT",1.056912,.9760459,1.152521,1.094186,1.018999,1.948706,.9254803,1.019702,.9707541,1.080978,1.035421,1.002623,1.444156,.9341591
"NC",1.011418,1.001206,1.040009,.9816425,1.02839,1.14216,.9416302,1.022612,1.011005,1.055159,.9929304,1.043783,1.114186,.9480373
"ND",1.082629,.9963384,1.213148,1.106528,1.048188,1.99608,.9541968,1.0257,.9763849,1.081008,1.04546,1.011839,1.571984,.9131434
"NE",1.018942,1.007438,1.063888,1.010841,1.036586,1.230408,.9929631,1.028393,1.007694,1.105176,1.011691,1.06361,1.283069,.9778713
